故障编码,故障名称,故障下级编码,验证方法,故障原因,解决方法,逻辑类型,来源,源文档行号,故障现象
kvcache_conn_fault_013,三方etcd错误,,KVCache错误码为25(K_MASTER_TIMEOUT)或INFO log含etcd is timeout/unavailable或resource log含ETCD_QUEUE堆积,etcd集群故障或到etcd的网络异常。主责三方etcd,systemctl status etcd；etcdctl endpoint status -w table；查到etcd的网络,composite,08-fault-triage-consolidated.md L73-L74；10-customer-fault-scenarios.md L161-L166,L260-L285,"case 1: 描述: 返回错误码中有25 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log | awk -F'|' '{print $1}' | sort | uniq -c 检查方式: has_code
case 2: 描述: INFO log含etcd is timeout或etcd is unavailable 命令: grep -E 'etcd is timeout|etcd is unavailable' $LOG/*.INFO.log | tail -20 检查方式: non_empty
case 3: 描述: ETCD_QUEUE堆积或ETCD_REQUEST_SUCCESS_RATE下降 命令: grep 'ETCD_REQUEST_SUCCESS_RATE\|ETCD_QUEUE' $LOG/resource.log | tail -5 检查方式: etcd_queue_high"
kvcache_conn_fault_014,桶码错误,kvcache_conn_fault_015、kvcache_conn_fault_020、kvcache_conn_fault_021,KVCache错误码为1001(K_RPC_DEADLINE_EXCEEDED)或1002(K_RPC_UNAVAILABLE)，需看日志前缀确定边界,向下级匹配。,向下级匹配。,uniq_code,08-fault-triage-consolidated.md L73-L76；10-customer-fault-scenarios.md L78-L83,L287-L300,"错误码为: 1001, 1002"
kvcache_conn_fault_015,OS层（TCP/UDS/ZMQ系统调用层）,kvcache_conn_fault_016、kvcache_conn_fault_017、kvcache_conn_fault_018、kvcache_conn_fault_019,INFO log含[TCP_CONNECT_FAILED]或[TCP_CONNECT_RESET]或[TCP_NETWORK_UNREACHABLE]或[UDS_CONNECT_FAILED]或[SHM_FD_TRANSFER_FAILED]或[ZMQ_SEND_FAILURE_TOTAL]或[ZMQ_RECEIVE_FAILURE_TOTAL],向下级匹配。,向下级匹配。,grep,08-fault-triage-consolidated.md L103-L110；10-customer-fault-scenarios.md L169-L178,L302-L316,关键字: \[(TCP|UDS|ZMQ|SHM_FD)_
kvcache_conn_fault_016,TCP建连失败（对端Worker活）,,INFO log含[TCP_CONNECT_FAILED]且对端Worker进程仍存活,端口不通/iptables/路由,ss -tnlp；iptables -L -n；开端口/删规则,composite,08-fault-triage-consolidated.md L103-L104；10-customer-fault-scenarios.md L169-L170,L318-L332,"case 1: 描述: [TCP_CONNECT_FAILED] 命令: grep '\[TCP_CONNECT_FAILED\]' $LOG/datasystem_worker.INFO.log $LOG/ds_client_*.INFO.log | tail -50 检查方式: non_empty
case 2: 描述: 对端Worker仍活 命令: pgrep -af datasystem_worker 检查方式: non_empty"
kvcache_conn_fault_017,TCP连接重置/网络不可达,,INFO log含[TCP_CONNECT_RESET]或[TCP_NETWORK_UNREACHABLE],网络闪断（除非同窗Worker重启）,dmesg；netstat -s | grep reset,grep,08-fault-triage-consolidated.md L105-L106；10-customer-fault-scenarios.md L171-L172,L334-L344,关键字: \[TCP_CONNECT_RESET\]|\[TCP_NETWORK_UNREACHABLE\]
kvcache_conn_fault_018,UDS/SHM传fd失败,,INFO log含[UDS_CONNECT_FAILED]或[SHM_FD_TRANSFER_FAILED],同机UDS路径/权限/fd上限；SCM_RIGHTS发送失败多为fd耗尽或权限问题,检查UDS路径/权限；调大ulimit -n,grep,08-fault-triage-consolidated.md L107-L108；10-customer-fault-scenarios.md L173-L174,L346-L365,关键字: \[UDS_CONNECT_FAILED\]|\[SHM_FD_TRANSFER_FAILED\]
kvcache_conn_fault_019,ZMQ发送/接收失败,,INFO log含[ZMQ_SEND_FAILURE_TOTAL]或[ZMQ_RECEIVE_FAILURE_TOTAL]，按zmq_last_error_number对照errno,zmq_msg_send/recv硬失败，按zmq_last_error_number对照errno确定具体OS原因,按errno对照处置。errno对照表：11(EAGAIN背压)、101(ENETUNREACH路由不可达)、104(ECONNRESET对端reset)、110(ETIMEDOUT TCP超时)、111(ECONNREFUSED端口无监听)、113(EHOSTUNREACH主机不可达),grep,08-fault-triage-consolidated.md L109-L110；10-customer-fault-scenarios.md L175-L176,L367-L380,关键字: \[ZMQ_SEND_FAILURE_TOTAL\]|\[ZMQ_RECEIVE_FAILURE_TOTAL\]
kvcache_conn_fault_020,三方etcd层,,INFO log含etcd is timeout或etcd is unavailable,etcd集群或到etcd的网络异常,systemctl status etcd；etcdctl endpoint status；查到etcd的网络,grep,08-fault-triage-consolidated.md L113-L114；10-customer-fault-scenarios.md L161-L166,L382-L394,关键字: etcd is timeout|etcd is unavailable
kvcache_conn_fault_021,DS进程内层,,INFO log含[TCP_CONNECT_FAILED]且对端Worker不在，或含[RPC_RECV_TIMEOUT]且ZMQ fault=0，或含[RPC_SERVICE_UNAVAILABLE],Worker crash/未拉起/机器故障、对端处理慢拖超时、对端主动拒绝,查对端Worker存活；扩线程池,composite,08-fault-triage-consolidated.md L115-L119；10-customer-fault-scenarios.md L169-L178,L396-L418,"case 1: 描述: [TCP_CONNECT_FAILED]且对端Worker不在
case 2: 描述: [RPC_RECV_TIMEOUT]且ZMQ fault=0或[RPC_SERVICE_UNAVAILABLE]"
kvcache_conn_fault_022,URMA错误,kvcache_conn_fault_023、kvcache_conn_fault_024、kvcache_conn_fault_025、kvcache_conn_fault_026、kvcache_conn_fault_027、kvcache_conn_fault_028、kvcache_conn_fault_029、kvcache_conn_fault_030,KVCache错误码为1004/1006/1008/1009/1010,向下级匹配。,向下级匹配。,uniq_code,08-fault-triage-consolidated.md L73-L74；10-customer-fault-scenarios.md L78-L80,L420-L429,"错误码为: 1004, 1006, 1008, 1009, 1010"
kvcache_conn_fault_023,URMA会话重连,,INFO log含[URMA_NEED_CONNECT]或[URMA_RECREATE_JFS],对端Worker重启（instanceId变化）或UB链路不稳（instanceId不变）,对端重启→等SDK自重连稳定；UB链路不稳→查UB硬件/驱动/端口/交换机抖动,composite,08-fault-triage-consolidated.md L214-L217；10-customer-fault-scenarios.md L148-L156,L431-L455,case 1: 描述: [URMA_NEED_CONNECT] 命令: grep '\[URMA_NEED_CONNECT\]' $LOG/datasystem_worker.INFO.log $LOG/ds_client_*.INFO.log | tail -50 检查方式: non_empty
kvcache_conn_fault_024,URMA JFS异常,,INFO log含Failed to import jfr或advise jfr,JFS异常自动重建（cqeStatus=9 ACK TIMEOUT）；JFS重建失败,无[URMA_RECREATE_JFS_FAILED]→自愈成功；有且连续→查UMDK/驱动日志并上报URMA团队,composite,08-fault-triage-consolidated.md L218-L221,L457-L475,"case 1: 描述: [URMA_RECREATE_JFS] 命令: grep '\[URMA_RECREATE_JFS\]' $LOG/datasystem_worker.INFO.log $LOG/ds_client_*.INFO.log | tail -50 检查方式: non_empty
case 2: 描述: [URMA_RECREATE_JFS_FAILED] 命令: grep '\[URMA_RECREATE_JFS_FAILED\]' $LOG/datasystem_worker.INFO.log $LOG/ds_client_*.INFO.log | tail -50 检查方式: non_empty"
kvcache_conn_fault_025,URMA驱动/CQ错误,,INFO log含URMA CQ error或URMA driver error,PollJfcWait报错（驱动/硬件）或等待CQE超时,grep UMDK日志/dmesg；SDK重试白名单自愈,grep,08-fault-triage-consolidated.md L226-L229；10-customer-fault-scenarios.md L148-L158,L477-L495,关键字: \[URMA_POLL_ERROR\]|\[URMA_WAIT_TIMEOUT\]
kvcache_conn_fault_026,URMA建连失败,,KVCache错误码为1009或INFO log含[URMA_CONNECT_FAILED],URMA建连失败，UB端口down或设备节点缺失,ifconfig ub0 up；检查UB设备节点,composite,08-fault-triage-consolidated.md L230-L231；10-customer-fault-scenarios.md L148-L149,L497-L520,"case 1: 描述: 返回错误码中有1009 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log | awk -F'|' '{print $1}' | sort | uniq -c 检查方式: has_code
case 2: 描述: UB端口down 命令: ifconfig ub0 2>/dev/null 检查方式: contains_down
case 3: 描述: UB设备节点缺失 命令: ls /dev/ub* 2>/dev/null 检查方式: empty"
kvcache_conn_fault_027,URMA初始化失败,,INFO log含Failed to urma init或Failed to urma get device by name或Failed to urma get eid list或Failed to urma create context或Failed to initialize URMA dlopen loader,UB初始化失败（UMDK设备/context/jfc等）,UB/URMA运维排查,grep,03-fault-mode-library.md L56-L57；10-customer-fault-scenarios.md L148-L149,L522-L534,关键字: Failed to urma init|Failed to urma get device by name|Failed to urma get eid list|Failed to urma create context|Failed to initialize URMA dlopen loader
kvcache_conn_fault_028,FastTransport/握手失败,,INFO log含Fast transport handshake failed或Failed to import jfr或advise jfr,UB握手失败、回退,UB/URMA运维排查,grep,03-fault-mode-library.md L60-L61；03-fault-mode-library.md L95-L96,L536-L548,关键字: Fast transport handshake failed|Failed to import jfr|advise jfr
kvcache_conn_fault_029,URMA数据面读写失败,,INFO log含Failed to urma write object或Failed to urma read object,读写到对端UB失败,UB/URMA运维排查,grep,03-fault-mode-library.md L64-L65；03-fault-mode-library.md L95-L96,L550-L561,关键字: Failed to urma write object|Failed to urma read object
kvcache_conn_fault_030,URMA超时,,KVCache错误码为1010或INFO log含[URMA_WAIT_TIMEOUT],URMA等待CQE超时,SDK重试白名单自愈；持续出现查UB链路,composite,08-fault-triage-consolidated.md L228-L229,L497-L498（从1.5.4上下文推断）,"case 1: 描述: 返回错误码中有1010 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log | awk -F'|' '{print $1}' | sort | uniq -c 检查方式: has_code
case 2: 描述: [URMA_WAIT_TIMEOUT] 命令: grep '\[URMA_WAIT_TIMEOUT\]' $LOG/datasystem_worker.INFO.log $LOG/ds_client_*.INFO.log | tail -50 检查方式: non_empty"
kvcache_conn_fault_031,OS错误,kvcache_conn_fault_032、kvcache_conn_fault_033、kvcache_conn_fault_034、kvcache_conn_fault_035、kvcache_conn_fault_036、kvcache_conn_fault_037,KVCache错误码为5(K_RUNTIME_ERROR)、6(K_OUT_OF_MEMORY)、7(K_IO_ERROR)、13(K_NO_SPACE)或18(K_FILE_LIMIT_REACHED),向下级匹配。,向下级匹配。,uniq_code,08-fault-triage-consolidated.md L73-L74；10-customer-fault-scenarios.md L78-L80,L563-L572,"错误码为: 5, 6, 7, 13, 18"
kvcache_conn_fault_032,内存不足,,KVCache错误码为6(K_OUT_OF_MEMORY)或dmesg含Out of memory或free -h可用内存不足,OS内存不足（ENOMEM）,扩内存/调cgroup上限,composite,08-fault-triage-consolidated.md L226-L227；10-customer-fault-scenarios.md L139-L140,L574-L596,"case 1: 描述: 返回错误码中有6 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log | awk -F'|' '{print $1}' | sort | uniq -c 检查方式: has_code
case 2: 描述: dmesg含Out of memory 命令: dmesg | grep -i 'Out of memory' 检查方式: non_empty
case 3: 描述: 可用内存不足 命令: free -h 检查方式: memory_low"
kvcache_conn_fault_033,IO错误,,KVCache错误码为7(K_IO_ERROR)或dmesg含块设备/文件系统错误,块设备/文件系统IO错误（EIO）,修文件系统/挂载；分布式网盘故障联系存储运维,composite,08-fault-triage-consolidated.md L226-L227；10-customer-fault-scenarios.md L139-L140,L598-L616,"case 1: 描述: 返回错误码中有7 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log | awk -F'|' '{print $1}' | sort | uniq -c 检查方式: has_code
case 2: 描述: dmesg含I/O error 命令: dmesg | grep 'I/O error' 检查方式: non_empty"
kvcache_conn_fault_034,磁盘空间不足,,KVCache错误码为13(K_NO_SPACE)或df -h磁盘使用率接近100%或resource log含SPILL_HARD_DISK/SHARED_DISK空间接近TOTAL_LIMIT,磁盘空间不足（ENOSPC）,清理/扩容（本地盘或分布式网盘挂载点）,composite,08-fault-triage-consolidated.md L226-L227；10-customer-fault-scenarios.md L139-L140,L618-L642,"case 1: 描述: 返回错误码中有13 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log | awk -F'|' '{print $1}' | sort | uniq -c 检查方式: has_code
case 2: 描述: 磁盘使用率接近100% 命令: df -h 检查方式: disk_usage_high
case 3: 描述: SPILL_HARD_DISK或SHARED_DISK空间接近TOTAL_LIMIT 命令: grep -E 'SPILL_HARD_DISK|SHARED_DISK' $LOG/resource.log | tail -5 检查方式: disk_space_near_limit"
kvcache_conn_fault_035,文件描述符耗尽,,KVCache错误码为18(K_FILE_LIMIT_REACHED)或fd数量接近ulimit -n的值,文件描述符耗尽（EMFILE/ENFILE）,ulimit -n 65535（永久改/etc/security/limits.conf）,composite,08-fault-triage-consolidated.md L226-L227；10-customer-fault-scenarios.md L139-L140,L644-L666,"case 1: 描述: 返回错误码中有18 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log | awk -F'|' '{print $1}' | sort | uniq -c 检查方式: has_code
case 2: 描述: fd数量接近ulimit -n的值 命令: ls /proc/$(pgrep -f datasystem_worker | head -1)/fd 2>/dev/null | wc -l 检查方式: fd_near_limit"
kvcache_conn_fault_036,mmap失败,,KVCache错误码为5(K_RUNTIME_ERROR)且INFO log含Get mmap entry failed,mlock限制导致mmap失败（ENOMEM）,ulimit -l unlimited,composite,08-fault-triage-consolidated.md L86-L87；08-fault-triage-consolidated.md L233-L234,L668-L688,"case 1: 描述: 返回错误码中有5 命令: grep ""DS_KV_CLIENT_PUT\|DS_KV_CLIENT_GET"" $LOG/ds_client_access_*.log | awk -F'|' '{print $1}' | sort | uniq -c 检查方式: has_code
case 2: 描述: INFO log含Get mmap entry failed 命令: grep 'Get mmap entry failed' $LOG/datasystem_worker.INFO.log | tail -50 检查方式: non_empty
case 3: 描述: mlock限制值 命令: ulimit -l 检查方式: not_unlimited"
kvcache_conn_fault_037,code=5按日志串细分,,KVCache错误码为5(K_RUNTIME_ERROR)且需按日志串细分,向下级匹配。,向下级匹配。,uniq_code,08-fault-triage-consolidated.md L86-L89,L690-L703,错误码为: 5
kvcache_conn_fault_038,Client Init/连接Worker失败,kvcache_conn_fault_039、kvcache_conn_fault_040、kvcache_conn_fault_041、kvcache_conn_fault_042、kvcache_conn_fault_043,INFO log含[TCP_CONNECT_FAILED]或[UDS_CONNECT_FAILED]或[SHM_FD_TRANSFER_FAILED]或ConnectOptions was not configured,向下级匹配。,向下级匹配。,grep,10-customer-fault-scenarios.md L539-L540；10-customer-fault-scenarios.md L548-L549,L705-L720,关键字: \[(TCP|UDS|SHM_FD)_|ConnectOptions was not configured
kvcache_conn_fault_039,Worker进程不存在,,pgrep -af datasystem_worker无结果,DataSystem/编排问题，Worker未拉起,联系华为DS支持或编排侧拉起（systemd/k8s查重启原因：kubectl describe / journalctl -u ...）,cmd_check,10-customer-fault-scenarios.md L513-L514,L722-L730,
kvcache_conn_fault_040,Worker端口未LISTEN,,ss -tnlp | grep <worker_port>无结果但Worker进程在,DataSystem问题,上报华为DS支持,composite,10-customer-fault-scenarios.md L513-L514,L732-L743,"case 1: 描述: Worker进程存在 命令: pgrep -af datasystem_worker 检查方式: non_empty
case 2: 描述: 端口未LISTEN 命令: ss -tnlp | grep 31402 检查方式: empty"
kvcache_conn_fault_041,TCP建连失败（对端LISTEN）,,INFO log含[TCP_CONNECT_FAILED]且对端端口LISTEN,主机/网络，防火墙/路由不通,iptables -L -n；nc -zv <worker> <port>；删除iptables DROP规则；检查安全组,composite,10-customer-fault-scenarios.md L539-L540,L745-L758,"case 1: 描述: [TCP_CONNECT_FAILED] 命令: grep '\[TCP_CONNECT_FAILED\]' $LOG/ds_client_<pid>.INFO.log | head 检查方式: non_empty
case 2: 描述: 对端端口LISTEN 命令: ss -tnlp | grep 31402 检查方式: non_empty"
kvcache_conn_fault_042,UDS路径/权限问题,,INFO log含[UDS_CONNECT_FAILED],主机，同机UDS路径/权限/tenant_id不一致,ls -la <uds_path>检查路径与权限；改权限/按部署文档挂载,grep,10-customer-fault-scenarios.md L539-L540,L760-L770,关键字: \[UDS_CONNECT_FAILED\]
kvcache_conn_fault_043,SHM传fd失败,,INFO log含[SHM_FD_TRANSFER_FAILED],同机SHM fd传输失败，fd耗尽或权限问题,检查ulimit -n；SELinux/AppArmor；/proc/sys/fs/file-max,grep,10-customer-fault-scenarios.md L539-L540,L770-L775（从1.4.1.3上下文推断）,关键字: \[SHM_FD_TRANSFER_FAILED\]
kvcache_conn_fault_044,机器/节点级故障,kvcache_conn_fault_045、kvcache_conn_fault_046、kvcache_conn_fault_047、kvcache_conn_fault_048、kvcache_conn_fault_049、kvcache_conn_fault_050,INFO log含大量K_CLIENT_WORKER_DISCONNECT(23)/K_RPC_UNAVAILABLE(1002)/Cannot receive heartbeat from worker聚集在某节点,向下级匹配。,向下级匹配。,grep,10-customer-fault-scenarios.md L676-L677,L777-L788,关键字: Cannot receive heartbeat from worker|K_CLIENT_WORKER_DISCONNECT
kvcache_conn_fault_045,节点不可达,,ping -c 3 <node_ip>不通,主机/基础设施，联系机房/云平台,联系机房/云平台,cmd_check,10-customer-fault-scenarios.md L684-L687,L790-L798,
kvcache_conn_fault_046,节点NotReady（k8s）,,kubectl describe node含taints/conditions异常,编排/主机问题,编排/主机运维排查,cmd_check,10-customer-fault-scenarios.md L686-L687,L800-L808,
kvcache_conn_fault_047,Worker进程被OOM Killer杀掉,,dmesg含OOM killer杀掉datasystem_worker,主机OOM,扩内存/调cgroup；补内存后编排拉起,composite,10-customer-fault-scenarios.md L694-L699,L810-L826,"case 1: 描述: Worker进程不存在 命令: pgrep -af datasystem_worker 检查方式: empty
case 2: 描述: dmesg含OOM killer 命令: dmesg | grep 'OOM killer' 检查方式: non_empty
case 3: 描述: dmesg含datasystem_worker 命令: dmesg | grep datasystem_worker 检查方式: non_empty"
kvcache_conn_fault_048,Worker进程crash（非OOM）,,Worker进程不存在且dmesg无OOM记录,DataSystem进程crash,上报华为+附journalctl/core dump,composite,10-customer-fault-scenarios.md L694-L699,L828-L844,"case 1: 描述: Worker进程不存在 命令: pgrep -af datasystem_worker 检查方式: empty
case 2: 描述: dmesg无OOM记录 命令: dmesg | grep 'OOM killer' 检查方式: empty"
kvcache_conn_fault_049,Worker进程在但端口不LISTEN,,Worker进程在但ss -tnlp无端口LISTEN,DataSystem问题,上报华为DS支持,composite,10-customer-fault-scenarios.md L698-L699,L846-L857,"case 1: 描述: Worker进程存在 命令: pgrep -af datasystem_worker 检查方式: non_empty
case 2: 描述: 端口未LISTEN 命令: ss -tnlp | grep 31402 检查方式: empty"
kvcache_conn_fault_050,Worker进程在、端口LISTEN但心跳断,,Worker进程在、端口LISTEN但业务心跳断,主机/网络（中间网络路径）,查iptables/路由/MTU,composite,10-customer-fault-scenarios.md L698-L699,L859-L873,"case 1: 描述: Worker进程存在 命令: pgrep -af datasystem_worker 检查方式: non_empty
case 2: 描述: 端口LISTEN 命令: ss -tnlp | grep 31402 检查方式: non_empty
case 3: 描述: 心跳断 命令: grep 'Cannot receive heartbeat from worker' $LOG/datasystem_worker.INFO.log | tail -50 检查方式: non_empty"
