故障编号,故障名称,故障现象,故障原因,解决办法
urma_011,bondp_import_jetty 执行导入 context 失败导致当前资源状态无法推进,"关键日志：依次匹配 `Failed to import vjetty, [`、`]:`；日志路径：URMA_LOG_PATH",bondp_import_jetty 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_012,bondp_import_jetty 校验 Jetty 业务条件不满足导致导入流程拒绝继续执行,"关键日志：匹配 `Multi-path jetty only support CTP, tp_type:`；日志路径：URMA_LOG_PATH",bondp_import_jetty 在执行导入时发现 Jetty 的传输模式、绑定关系、路由选择、数量限制或设备属性与当前操作要求不一致，因此直接返回错误，避免建立错误的资源关系或下发不被支持的请求。,无
urma_013,bondp_import_jetty 校验 Jetty 业务条件不满足导致导入流程拒绝继续执行,"关键日志：匹配 `Multi-path jetty only support RM or RC, trans_mode:`；日志路径：URMA_LOG_PATH",bondp_import_jetty 在执行导入时发现 Jetty 的传输模式、绑定关系、路由选择、数量限制或设备属性与当前操作要求不一致，因此直接返回错误，避免建立错误的资源关系或下发不被支持的请求。,无
urma_014,bondp_import_jetty 校验 Jetty 业务条件不满足导致导入流程拒绝继续执行,"关键日志：匹配 `Single-path jetty only support UTP or RTP, tp_type:`；日志路径：URMA_LOG_PATH",bondp_import_jetty 在执行导入时发现 Jetty 的传输模式、绑定关系、路由选择、数量限制或设备属性与当前操作要求不一致，因此直接返回错误，避免建立错误的资源关系或下发不被支持的请求。,无
urma_015,bondp_import_jetty 校验 Jetty 业务条件不满足导致导入流程拒绝继续执行,"关键日志：匹配 `Single-path jetty only support RC, trans_mode:`；日志路径：URMA_LOG_PATH",bondp_import_jetty 在执行导入时发现 Jetty 的传输模式、绑定关系、路由选择、数量限制或设备属性与当前操作要求不一致，因此直接返回错误，避免建立错误的资源关系或下发不被支持的请求。,无
urma_016,bondp_import_jetty 执行导入 context 失败导致当前资源状态无法推进,关键日志：匹配 Failed to import pjetty；日志路径：URMA_LOG_PATH,bondp_import_jetty 调用下层 provider、bond 组件或系统接口处理 context 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_017,bind_jetty_single_path 校验 Jetty 业务条件不满足导致绑定流程拒绝继续执行,关键日志：匹配 No valid direct route；日志路径：URMA_LOG_PATH,bind_jetty_single_path 在执行绑定时发现 Jetty 的传输模式、绑定关系、路由选择、数量限制或设备属性与当前操作要求不一致，因此直接返回错误，避免建立错误的资源关系或下发不被支持的请求。,无
urma_018,bondp_bind_jetty 校验 Jetty 无效导致绑定流程拒绝继续执行,关键日志：匹配 Invalid param jetty；日志路径：URMA_LOG_PATH,bondp_bind_jetty 在执行绑定前发现调用方传入的 Jetty 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_019,bondp_bind_jetty 校验 Jetty 业务条件不满足导致绑定流程拒绝继续执行,关键日志：匹配 Jetty already has a binded target jetty；日志路径：URMA_LOG_PATH,bondp_bind_jetty 在执行绑定时发现 Jetty 的传输模式、绑定关系、路由选择、数量限制或设备属性与当前操作要求不一致，因此直接返回错误，避免建立错误的资源关系或下发不被支持的请求。,无
urma_020,bondp_bind_jetty 校验 context 业务条件不满足导致绑定流程拒绝继续执行,关键日志：匹配 The is_multipath attributes of jetty and tjetty are different；日志路径：URMA_LOG_PATH,bondp_bind_jetty 在执行绑定时发现 context 的传输模式、绑定关系、路由选择、数量限制或设备属性与当前操作要求不一致，因此直接返回错误，避免建立错误的资源关系或下发不被支持的请求。,无
urma_021,bondp_unbind_jetty 校验 Jetty 无效导致绑定流程拒绝继续执行,关键日志：匹配 Invalid param jetty；日志路径：URMA_LOG_PATH,bondp_unbind_jetty 在执行绑定前发现调用方传入的 Jetty 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_022,bondp_unbind_jetty 执行绑定 目标 Jetty 失败导致当前资源状态无法推进,关键日志：依次匹配 `Failed to unbind tjetty [`、`](`；日志路径：URMA_LOG_PATH,bondp_unbind_jetty 调用下层 provider、bond 组件或系统接口处理 目标 Jetty 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_023,import_jfr_default 校验 JFR 业务条件不满足导致导入流程拒绝继续执行,"关键日志：匹配 Failed to import jfr, no valid route to rjfr；日志路径：URMA_LOG_PATH",import_jfr_default 在执行导入时发现 JFR 的传输模式、绑定关系、路由选择、数量限制或设备属性与当前操作要求不一致，因此直接返回错误，避免建立错误的资源关系或下发不被支持的请求。,无
urma_024,get_new_jfs_wr 执行获取 JFS 失败导致当前资源状态无法推进,关键日志：匹配 `unsupport opcode`；日志路径：URMA_LOG_PATH,get_new_jfs_wr 调用下层 provider、bond 组件或系统接口处理 JFS 时返回失败，当前分支携带 ret/errno 等错误结果退出，导致该资源的创建、导入、修改、投递或清理状态无法继续推进。,无
urma_025,bondp_global_ctx_init 分配 context 临时参数失败导致初始化流程无法继续,关键日志：匹配 Failed to alloc global context；日志路径：URMA_LOG_PATH,bondp_global_ctx_init 需要为 context 构造命令参数、资源描述或临时缓存，但内存分配返回失败，后续 provider 调用或驱动命令缺少必要入参，因此当前 URMA 操作被阻断。,无
urma_026,get_bonding_eid_by_target_eid 校验 EID 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid param；日志路径：URMA_LOG_PATH,get_bonding_eid_by_target_eid 在执行获取前发现调用方传入的 EID 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_027,urma_cmd_create_jfs 校验 context 无效导致创建流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_create_jfs 在执行创建前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_028,urma_cmd_set_jfs_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,关键日志：匹配 jfc not exist in jfs；日志路径：URMA_LOG_PATH,urma_cmd_set_jfs_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFS 状态。,无
urma_029,urma_cmd_set_jfs_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_set_jfs_opt, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_set_jfs_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFS 状态。,无
urma_030,urma_cmd_get_jfs_opt 校验 JFS 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_get_jfs_opt 在执行获取前发现调用方传入的 JFS 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_031,urma_cmd_get_jfs_opt 校验 context 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_get_jfs_opt 在执行获取前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_032,urma_cmd_get_jfs_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_get_jfs_opt, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_get_jfs_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFS 状态。,无
urma_033,urma_cmd_get_jfs_opt 校验 JFS 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid out buffer from kernel；日志路径：URMA_LOG_PATH,urma_cmd_get_jfs_opt 在执行获取前发现调用方传入的 JFS 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_034,urma_cmd_get_jfs_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `output length too large, out.len=`、`, buf.len=`；日志路径：URMA_LOG_PATH",urma_cmd_get_jfs_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFS 状态。,无
urma_035,urma_cmd_active_jfs 校验 context 无效导致激活流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_active_jfs 在执行激活前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_036,urma_cmd_active_jfs URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_active_jfs, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_active_jfs 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFS 状态。,无
urma_037,urma_cmd_deactive_jfs 校验 context 无效导致激活流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_deactive_jfs 在执行激活前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_038,urma_cmd_deactive_jfs URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_deactive_jfs, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_deactive_jfs 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFS 状态。,无
urma_039,urma_cmd_get_jfc_opt 校验 JFC 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_get_jfc_opt 在执行获取前发现调用方传入的 JFC 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_040,urma_cmd_get_jfc_opt 校验 context 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_get_jfc_opt 在执行获取前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_041,urma_cmd_get_jfc_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_get_jfc_opt, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_get_jfc_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFC 状态。,无
urma_042,urma_cmd_get_jfc_opt 校验 JFC 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid out buffer from kernel；日志路径：URMA_LOG_PATH,urma_cmd_get_jfc_opt 在执行获取前发现调用方传入的 JFC 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_043,urma_cmd_get_jfc_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `output length too large, out.len=`、`, buf.len=`；日志路径：URMA_LOG_PATH",urma_cmd_get_jfc_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFC 状态。,无
urma_044,urma_cmd_active_jfc 校验 context 无效导致激活流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_active_jfc 在执行激活前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_045,urma_cmd_active_jfc URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_active_jfc, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_active_jfc 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFC 状态。,无
urma_046,urma_cmd_deactive_jfc 校验 context 无效导致激活流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_deactive_jfc 在执行激活前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_047,urma_cmd_deactive_jfc URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_active_jfc, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_deactive_jfc 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFC 状态。,无
urma_048,urma_cmd_create_jfce URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_create_jfce, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_create_jfce 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFCE 状态。,无
urma_049,urma_cmd_import_jfr 校验 context 无效导致导入流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_import_jfr 在执行导入前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_050,urma_cmd_import_jfr_ex 校验 context 无效导致导入流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_import_jfr_ex 在执行导入前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_051,urma_cmd_set_jfr_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,关键日志：匹配 jfc not exist in jfr；日志路径：URMA_LOG_PATH,urma_cmd_set_jfr_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFR 状态。,无
urma_052,urma_cmd_set_jfr_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_set_jfr_opt, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_set_jfr_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFR 状态。,无
urma_053,urma_cmd_get_jfr_opt 校验 JFR 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_get_jfr_opt 在执行获取前发现调用方传入的 JFR 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_054,urma_cmd_get_jfr_opt 校验 context 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_get_jfr_opt 在执行获取前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_055,urma_cmd_get_jfr_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_get_jfr_opt, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_get_jfr_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFR 状态。,无
urma_056,urma_cmd_get_jfr_opt 校验 JFR 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid out buffer from kernel；日志路径：URMA_LOG_PATH,urma_cmd_get_jfr_opt 在执行获取前发现调用方传入的 JFR 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_057,urma_cmd_get_jfr_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `output length too large, out.len=`、`, buf.len=`；日志路径：URMA_LOG_PATH",urma_cmd_get_jfr_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFR 状态。,无
urma_058,urma_cmd_active_jfr 校验 context 无效导致激活流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_active_jfr 在执行激活前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_059,urma_cmd_active_jfr URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_active_jfr, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_active_jfr 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFR 状态。,无
urma_060,urma_cmd_deactive_jfr 校验 context 无效导致激活流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_deactive_jfr 在执行激活前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_061,urma_cmd_deactive_jfr URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_deactive_jfr, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_deactive_jfr 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 JFR 状态。,无
urma_062,urma_cmd_bind_jetty 校验 context 无效导致绑定流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_bind_jetty 在执行绑定前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_063,urma_cmd_bind_jetty_ex 校验 context 无效导致绑定流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_bind_jetty_ex 在执行绑定前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_064,urma_cmd_unbind_jetty 校验 context 无效导致绑定流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_unbind_jetty 在执行绑定前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_065,urma_cmd_import_jetty 校验 context 无效导致导入流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_import_jetty 在执行导入前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_066,urma_cmd_import_jetty_ex 校验 context 无效导致导入流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_import_jetty_ex 在执行导入前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_067,urma_cmd_set_jetty_opt 装载或匹配 provider 失败导致设备驱动能力不可用,关键日志：匹配 jetty->jetty_cfg.shared.jfc is not exist；日志路径：URMA_LOG_PATH,urma_cmd_set_jetty_opt 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,无
urma_068,urma_cmd_set_jetty_opt 装载或匹配 provider 失败导致设备驱动能力不可用,关键日志：匹配 jetty->jetty_cfg.shared.jfr is not exist；日志路径：URMA_LOG_PATH,urma_cmd_set_jetty_opt 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,无
urma_069,urma_cmd_set_jetty_opt 装载或匹配 provider 失败导致设备驱动能力不可用,关键日志：匹配 jetty->jetty_cfg.jetty_grp is not exist；日志路径：URMA_LOG_PATH,urma_cmd_set_jetty_opt 在初始化或注册设备时未能打开 provider 动态库、获取动态库路径、匹配驱动名称或完成 provider 注册，导致 URMA 用户态无法绑定对应设备的 provider 操作集。,无
urma_070,urma_cmd_set_jetty_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,关键日志：匹配 jetty->jetty_cfg.jfs_cfg.jfc is not exist；日志路径：URMA_LOG_PATH,urma_cmd_set_jetty_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 Jetty 状态。,无
urma_071,urma_cmd_set_jetty_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_set_jetty_opt, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_set_jetty_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 Jetty 状态。,无
urma_072,urma_cmd_get_jetty_opt 校验 Jetty 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_get_jetty_opt 在执行获取前发现调用方传入的 Jetty 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_073,urma_cmd_get_jetty_opt 校验 context 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_get_jetty_opt 在执行获取前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_074,urma_cmd_get_jetty_opt URMA 控制面命令 ioctl 下发内核驱动失败导致用户态操作中断,"关键日志：依次匹配 `ioctl failed in urma_cmd_get_jetty_opt, ret:`、`, errno:`；日志路径：URMA_LOG_PATH",urma_cmd_get_jetty_opt 通过 fd 向内核驱动下发URMA 控制面命令请求时，ioctl 返回失败，说明内核驱动没有完成对应控制面动作，用户态无法取得或更新 Jetty 状态。,无
urma_075,urma_cmd_get_jetty_opt 校验 Jetty 无效导致获取流程拒绝继续执行,关键日志：匹配 Invalid out buffer from kernel；日志路径：URMA_LOG_PATH,urma_cmd_get_jetty_opt 在执行获取前发现调用方传入的 Jetty 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_076,urma_cmd_active_jetty 校验 context 无效导致激活流程拒绝继续执行,关键日志：匹配 Invalid parameter；日志路径：URMA_LOG_PATH,urma_cmd_active_jetty 在执行激活前发现调用方传入的 context 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
urma_077,urma_cmd_active_jetty 校验 Jetty 无效导致激活流程拒绝继续执行,关键日志：匹配 Invalid flag；日志路径：URMA_LOG_PATH,urma_cmd_active_jetty 在执行激活前发现调用方传入的 Jetty 不满足当前操作要求，通常是对象为空、状态不匹配或与 provider 能力不一致，因此直接返回错误以避免继续访问非法资源。,无
