故障编码,故障名称,故障现象,故障原因,解决办法,故障下级编码
kvcache_conn_fault_020_003,1001/1002 → OS侧UDS连接失败/SHM fd传输失败,"INFO log中匹配[UDS_CONNECT_FAILED]或[SHM_FD_TRANSFER_FAILED]（08手册:L210, L335）",同机UDS路径不存在/权限不足/fd耗尽（08手册:L210）,检查UDS路径和权限；检查fd上限（08手册:L335）,
kvcache_conn_fault_020_004,1001/1002 → OS侧ZMQ发送/接收失败,"INFO log中匹配[ZMQ_SEND_FAILURE_TOTAL]或[ZMQ_RECEIVE_FAILURE_TOTAL]；zmq_last_error_number对照errno（08手册:L211, L338）",ZMQ系统调用层硬失败，按errno对应OS问题（08手册:L338）,按zmq_last_error_number对应的OS errno进行排查（08手册:L338）,
kvcache_conn_fault_020_005,1001/1002 → 三方etcd（etcd超时/不可用）,"INFO log中匹配etcd is timeout或etcd is unavailable（08手册:L217）",etcd集群或到etcd的网络问题，属于三方etcd责任（08手册:L217）,systemctl status etcd；etcdctl endpoint status（08手册:L273）,
kvcache_conn_fault_020_006,1001/1002 → yuanrong-datasystem进程内：对端Worker不在,"INFO log中匹配[TCP_CONNECT_FAILED] + 对端Worker不在（08手册:L223）",Worker crash/未拉起/机器故障（08手册:L223）,检查Worker进程状态（pgrep -af datasystem_worker）（08手册:L223）,
kvcache_conn_fault_020_007,1001/1002 → yuanrong-datasystem进程内：RPC接收超时,"INFO log中匹配[RPC_RECV_TIMEOUT] + ZMQ fault=0（08手册:L224）",对端处理慢导致超时（08手册:L224）,查Worker CPU使用率、锁争用情况；扩oc_rpc_thread_num（08手册:L271）,
kvcache_conn_fault_020_008,1001/1002 → yuanrong-datasystem进程内：RPC服务不可用,"INFO log中匹配[RPC_SERVICE_UNAVAILABLE]（08手册:L225）",对端Worker正在shutting down或状态异常（08手册:L225）,检查对端Worker状态（08手册:L225）,
kvcache_conn_fault_020_009,1001/1002 → yuanrong-datasystem进程内：TLS/认证配置,"INFO log中匹配zmq_event_handshake_failure_total上升（08手册:L226）",TLS/认证配置问题（08手册:L226）,检查TLS证书配置、认证参数是否正确（08手册:L226）,
kvcache_conn_fault_020_010,1001/1002 → SOCK/REMOTE握手超时,"INFO log中匹配[SOCK_CONN_WAIT_TIMEOUT]或[REMOTE_SERVICE_WAIT_TIMEOUT]（08手册:L232）",握手延迟超时，需根据对端Worker存活状态区分（08手册:L232）,根据对端存活状态定界后按对应边界处置（08手册:L232）,
kvcache_conn_fault_028,URMA故障（1004-1010）,"access log中status_code（第8列）为1004/1006/1008/1009/1010；或INFO log中[URMA_前缀（08手册:L137-138, L199）",向下级匹配（08手册:L281-308）,向下级匹配（08手册:L281-308）,"kvcache_conn_fault_028_001,kvcache_conn_fault_028_002,kvcache_conn_fault_028_003,kvcache_conn_fault_028_004,kvcache_conn_fault_028_005,kvcache_conn_fault_028_006,kvcache_conn_fault_028_007,kvcache_conn_fault_028_008"
kvcache_conn_fault_028_001,URMA_NEED_CONNECT + remoteInstanceId变化（对端Worker重启）,"INFO log中匹配[URMA_NEED_CONNECT] + remoteInstanceId变化（08手册:L297, 10案例:L123）",对端Worker重启导致URMA连接失效，属于预期行为（08手册:L297）,确认对端Worker确实重启后，等待SDK自重连稳定（08手册:L297）,
kvcache_conn_fault_028_002,URMA_NEED_CONNECT持续 + instanceId不变（UB链路不稳）,"INFO log中匹配[URMA_NEED_CONNECT]持续出现且instanceId不变（08手册:L298, 10案例:L124）",UB链路不稳，需区分是硬件/驱动问题还是端口/交换机抖动（08手册:L298）,检查UB端口状态和交换机；若伴POLL_ERROR/RECREATE_JFS则需联系URMA/UB运维（08手册:L298）,
kvcache_conn_fault_028_003,URMA_RECREATE_JFS + cqeStatus=9（JFS异常自动重建）,"INFO log中匹配[URMA_RECREATE_JFS] + cqeStatus=9（08手册:L299）",JFS ACK超时触发的自动重建（08手册:L299）,若无URMA_RECREATE_JFS_FAILED则视为自愈成功无需处理（08手册:L299）,
kvcache_conn_fault_028_004,URMA_RECREATE_JFS_FAILED连续（JFS重建失败）,"INFO log中匹配[URMA_RECREATE_JFS_FAILED]连续出现（08手册:L300, 10案例:L125）",JFS重建连续失败，可能为UMDK/驱动异常（08手册:L300）,查UMDK/驱动日志；上报URMA团队（08手册:L300）,
kvcache_conn_fault_028_005,fallback to TCP/IP payload（URMA降级TCP）,"INFO log中匹配fallback to TCP/IP payload（08手册:L301, L624）",URMA已降级到TCP，功能正常但性能退化（08手册:L306）,检查UB端口状态（ifconfig ub0 up）；修UMDK（08手册:L587）,
kvcache_conn_fault_028_006,URMA_POLL_ERROR（驱动/硬件）,"INFO log中匹配[URMA_POLL_ERROR]（08手册:L302, 10案例:L128）",UB驱动/硬件报告Poll错误，属于URMA责任（08手册:L302）,grep UMDK日志；检查dmesg中UB相关错误（08手册:L302）,
kvcache_conn_fault_028_007,URMA_WAIT_TIMEOUT（等待CQE超时, code=1010）,"INFO log中匹配[URMA_WAIT_TIMEOUT]（code=1010）（08手册:L303）",CQE等待超时，可能是链路抖动或对端重启触发（08手册:L303）,若伴instanceId变化则按kvcache_conn_fault_028_001处理；若单独出现则由SDK白名单重试自愈（08手册:L303）,
kvcache_conn_fault_028_008,K_URMA_CONNECT_FAILED（code=1009）,"access log中status_code（第8列）code=1009；或ifconfig ub0/ubinfo/ls /dev/ub*确认（08手册:L304）",URMA建连失败，可能UB端口down或设备节点缺失（08手册:L304）,ifconfig ub0查端口up/down；ls /dev/ub*看设备节点是否存在（08手册:L304）,
