故障编码,故障域,故障名称,故障表现（验证方法）,故障原因,解决办法
urma_015,URMA,初始化物理 JFR过程中依赖步骤失败,关键日志：匹配`bondp_unimport_pjfr`，匹配`Failed to init target active indices`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化物理 JFR，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_016,URMA,初始化URMA资源过程中依赖步骤失败,关键日志：匹配`bdp_v_conn_init`，匹配`Failed to init slide window in bdp_v_conn_table_add`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化URMA资源，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_017,用户,URMA context、provider操作表、JFS对象无效导致投递JFS失败,关键日志：匹配`urma_write_affinity`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于投递JFS，调用方传入的URMA context、provider操作表、JFS对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_018,URMA,初始化健康检查过程中依赖步骤失败,关键日志：匹配`bondp_create_health_check_ctx`，匹配`Failed to init health event lock`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化健康检查，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_019,硬件,设备注册时下层资源准备失败,关键日志：匹配`urma_provider_bond_init`，匹配`Provider Bond register ops failed.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责注册设备，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_020,硬件,URMA资源注册时下层资源准备失败,关键日志：匹配`urma_provider_bond_uninit`，匹配`Provider Bond register ops not registered.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责注册URMA资源，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_021,OS,context相关临时结构或命令参数分配失败,关键日志：匹配`bondp_global_ctx_init`，匹配`Failed to alloc global context`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在分配context前需要申请命令参数、资源描述或临时缓存，内存分配失败会阻断后续URMA资源处理。,无
urma_022,硬件,context创建时下层资源准备失败,关键日志：匹配`bondp_init`，匹配`Failed to create global context.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建context，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_023,URMA,初始化context过程中依赖步骤失败,关键日志：匹配`bondp_init`，匹配`Failed to init bondp netlink context.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化context，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_024,OS,设备、EID、端口、能力或字符设备路径信息的sysfs读取或解析失败,关键日志：匹配`bondp_init`，匹配`Failed to start health check thread.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数需要从sysfs获取设备、EID、端口、能力或字符设备路径信息来构建设备上下文，文件打开、读取或内容解析失败导致URMA无法完成设备发现或能力初始化。,无
urma_025,URMA,context清理阶段下层释放操作失败,关键日志：匹配`bondp_uninit`，匹配`Failed to delete global context.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责释放或撤销context相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_026,URMA,获取设备过程中依赖步骤失败,关键日志：匹配`bondp_init_member_eid_info_list`，匹配`Failed to get slave device info`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取设备，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_027,用户,设备对象无效导致初始化设备失败,关键日志：匹配`bondp_init_member_eid_info_list`，匹配`Invalid slave device number`，匹配`of device`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化设备，调用方传入的设备对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_028,URMA,获取设备过程中依赖步骤失败,关键日志：匹配`bondp_init_member_eid_info_list`，匹配`Failed to get device by name`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于获取设备，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_029,URMA,初始化端口过程中依赖步骤失败,关键日志：匹配`bondp_create_pcontext`，匹配`Failed to init port info list`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化端口，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_030,URMA,删除context过程中依赖步骤失败,关键日志：匹配`bondp_delete_pcontext`，匹配`Uninitialized variables`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于删除context，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_031,用户,初始化URMA资源所需输入对象无效导致初始化URMA资源失败,关键日志：匹配`bdp_slide_wnd_init`，匹配`Invalid param wnd`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化URMA资源，调用方传入的初始化URMA资源所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_032,用户,初始化URMA资源所需输入对象无效导致初始化URMA资源失败,关键日志：匹配`bdp_slide_wnd_init`，匹配`Invalid param: total_size <= window_size`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化URMA资源，调用方传入的初始化URMA资源所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_033,URMA,初始化URMA资源过程中依赖步骤失败,关键日志：匹配`bdp_slide_wnd_init`，匹配`Failed to init bitmap`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化URMA资源，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_034,用户,执行URMA资源所需输入对象无效导致释放URMA资源失败,关键日志：匹配`bdp_slide_wnd_uninit`，匹配`Invalid param wnd`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于释放URMA资源，调用方传入的执行URMA资源所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_035,用户,初始化Jetty所需输入对象无效导致初始化Jetty失败,关键日志：匹配`init_create_jetty_cmd`，匹配`Invalid parameter`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化Jetty，调用方传入的初始化Jetty所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_036,用户,JFR对象无效导致初始化Jetty失败,关键日志：匹配`init_create_jetty_cmd`，匹配`Invalid parameter`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化Jetty，调用方传入的JFR对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_037,硬件,Jetty初始化时下层资源准备失败,关键日志：匹配`urma_cmd_create_jetty`，匹配`failed to init create jetty cmd`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责初始化Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_038,OS,Jetty相关临时结构或命令参数分配失败,关键日志：匹配`urma_cmd_alloc_jetty`，匹配`failed to init alloc jetty cmd`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在初始化Jetty前需要申请命令参数、资源描述或临时缓存，内存分配失败会阻断后续URMA资源处理。,无
urma_039,URMA,执行URMA资源过程中依赖步骤失败,"关键日志：匹配`urma_close_provider`，匹配`close failed, err:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于执行URMA资源，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_040,URMA,打开URMA资源过程中依赖步骤失败,关键日志：匹配`urma_open_provider`，匹配`doesn't exist or doesn't have permission.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于打开URMA资源，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_041,URMA,打开URMA资源过程中依赖步骤失败,关键日志：匹配`urma_open_provider`，匹配`realpath failed.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于打开URMA资源，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_042,OS,设备、EID、端口、能力或字符设备路径信息的sysfs读取或解析失败,"关键日志：匹配`urma_open_provider`，匹配`open failed, err:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数需要从sysfs获取设备、EID、端口、能力或字符设备路径信息来构建设备上下文，文件打开、读取或内容解析失败导致URMA无法完成设备发现或能力初始化。,无
urma_043,用户,注册URMA资源所需输入对象无效导致注册URMA资源失败,关键日志：匹配`urma_register_provider_ops`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于注册URMA资源，调用方传入的注册URMA资源所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_044,用户,provider操作表无效导致注销URMA资源失败,关键日志：匹配`urma_unregister_provider_ops`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于注销URMA资源，调用方传入的provider操作表不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_045,OS,设备、EID、端口、能力或字符设备路径信息的sysfs读取或解析失败,关键日志：匹配`urma_open_drivers`，匹配`Failed to open provider`；日志路径：系统日志文件（URMA_LOG_PATH）,函数需要从sysfs获取设备、EID、端口、能力或字符设备路径信息来构建设备上下文，文件打开、读取或内容解析失败导致URMA无法完成设备发现或能力初始化。,无
urma_046,URMA,初始化URMA资源过程中依赖步骤失败,关键日志：匹配`urma_init`，匹配`urma_init has been called before.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化URMA资源，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,查看/usr/lib64/urma目录下，是否存在liburma_udma.so等驱动文件，或查看文件是否具备x权限，完成正确部署后重试
urma_047,硬件,URMA资源初始化时下层资源准备失败,关键日志：匹配`urma_init`，匹配`None of the providers registered.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责初始化URMA资源，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,查看/usr/lib64/urma目录下，是否存在liburma_udma.so等驱动文件，或查看文件是否具备x权限，完成正确部署后重试
urma_048,用户,执行URMA资源所需输入对象无效导致释放设备失败,关键日志：匹配`urma_uninit`，匹配`Invalid parameter.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于释放设备，调用方传入的执行URMA资源所需输入对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_049,URMA,初始化context过程中依赖步骤失败,关键日志：匹配`urma_start_perf`，匹配`Urma perf failed to initialize performance record context`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于初始化context，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_050,URMA,执行context过程中依赖步骤失败,关键日志：匹配`urma_stop_perf`，匹配`Urma perf failed to uninitialize performance record context`；日志路径：系统日志文件（URMA_LOG_PATH）；向下级匹配。,向下级匹配。,向下级匹配。
urma_051,URMA,执行虚拟 JFS过程中依赖步骤失败,"关键日志：匹配`bondp_add_jfs_p_vjetty_id_info`，匹配`Failed to add p_vjfs_id[`，匹配`]: ret:`，匹配`, p_jfs_id:`，匹配`, v_jfs_id:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于执行虚拟 JFS，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_052,URMA,虚拟 JFS清理阶段下层释放操作失败,关键日志：匹配`bondp_del_jfs_p_vjetty_info_without_lock`，匹配`Failed to delete p_vjfs_id node[`，匹配`]: ret:`，匹配`pjfs_id:`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责释放或撤销虚拟 JFS相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_053,硬件,组件创建时下层资源准备失败,关键日志：匹配`bondp_del_jfs_p_vjetty_info`，匹配`Failed to create bondp comp`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建组件，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_054,硬件,物理 JFS创建时下层资源准备失败,关键日志：匹配`bondp_del_jfs_p_vjetty_info`，匹配`Failed to create pjfs`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建物理 JFS，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_055,硬件,虚拟 JFS创建时下层资源准备失败,关键日志：匹配`bondp_del_jfs_p_vjetty_info`，匹配`Failed to create vjfs`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建虚拟 JFS，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_056,URMA,创建JFS过程中依赖步骤失败,关键日志：匹配`bondp_del_jfs_p_vjetty_info`，匹配`Failed to add jfs p_vjetty_id info`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于创建JFS，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_057,硬件,JFS创建时下层资源准备失败,关键日志：匹配`bondp_del_jfs_p_vjetty_info`，匹配`Failed to create jfs datapath ctx`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建JFS，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_058,URMA,执行虚拟 JFR过程中依赖步骤失败,"关键日志：匹配`bondp_add_jfr_p_vjetty_id_info`，匹配`Failed to add p_vjfr_id[`，匹配`]: ret:`，匹配`, p_jfr_id:`，匹配`, v_jfr_id:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于执行虚拟 JFR，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_059,URMA,虚拟 JFR清理阶段下层释放操作失败,关键日志：匹配`bondp_del_jfr_p_vjetty_info_without_lock`，匹配`Failed to delete p_vjfr_id node[`，匹配`]: ret`，匹配`pjfr_id:`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责释放或撤销虚拟 JFR相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_060,硬件,物理 JFR创建时下层资源准备失败,关键日志：匹配`bondp_del_jfr_p_vjetty_info`，匹配`Failed to create pjfr`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建物理 JFR，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_061,硬件,虚拟 JFR创建时下层资源准备失败,关键日志：匹配`bondp_del_jfr_p_vjetty_info`，匹配`Failed to create vjfr`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建虚拟 JFR，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_062,硬件,JFR创建时下层资源准备失败,关键日志：匹配`bondp_del_jfr_p_vjetty_info`，匹配`Failed to create jfr datapath ctx`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建JFR，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_063,URMA,创建健康检查过程中依赖步骤失败,关键日志：匹配`bondp_create_vjetty`，匹配`Failed to fill health check seg info for vjetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于创建健康检查，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_064,硬件,物理 Jetty创建时下层资源准备失败,关键日志：匹配`bondp_create_pjetty`，匹配`Failed to create pjetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建物理 Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_065,URMA,物理 Jetty清理阶段下层释放操作失败,"关键日志：匹配`bondp_delete_pjetty`，匹配`Failed to delete pjetty`，匹配`, ret:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责释放或撤销物理 Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_066,URMA,执行虚拟 Jetty过程中依赖步骤失败,"关键日志：匹配`bondp_add_jetty_p_vjetty_id_info`，匹配`Failed to add p_vjetty_id[`，匹配`]: ret:`，匹配`, p_jetty_id:`，匹配`, v_jetty_id:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于执行虚拟 Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_067,URMA,虚拟 Jetty清理阶段下层释放操作失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info_without_lock`，匹配`Failed to delete p_vjetty_id node: ret:`，匹配`pjetty_id:`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责释放或撤销虚拟 Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_068,硬件,设备创建时下层资源准备失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`UB device must use shared jfr when create jetty.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建设备，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_069,用户,URMA context、JFR对象、Jetty对象无效导致创建Jetty失败,"关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Invalid well known jetty id:`，匹配`, should be in (0, 1024)`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于创建Jetty，调用方传入的URMA context、JFR对象、Jetty对象不满足接口前置条件，无法继续完成本次URMA操作。,无
urma_070,硬件,组件创建时下层资源准备失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Failed to create bondp comp`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建组件，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_071,硬件,物理 Jetty创建时下层资源准备失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Failed to create pjetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建物理 Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_072,硬件,健康检查注册时下层资源准备失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Failed to register health check seg for jetty creation`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责注册健康检查，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_073,硬件,虚拟 Jetty创建时下层资源准备失败,"关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Failed to create vjetty,`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责创建虚拟 Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_074,URMA,注册Jetty过程中依赖步骤失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Failed to add jetty id to p_vjetty_id table`；日志路径：系统日志文件（URMA_LOG_PATH）,函数用于注册Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_075,硬件,Jetty创建时下层资源准备失败,关键日志：匹配`bondp_del_jetty_p_vjetty_info`，匹配`Failed to create jetty ctx`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责创建Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_076,URMA,Jetty清理阶段下层释放操作失败,"关键日志：匹配`bondp_delete_jetty`，匹配`Failed to delete jetty[`，匹配`], still in use. use_cnt:`，匹配`u`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责释放或撤销Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_077,URMA,虚拟 Jetty清理阶段下层释放操作失败,关键日志：匹配`bondp_delete_jetty`，匹配`Failed to delete vjetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责释放或撤销虚拟 Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_078,URMA,物理 Jetty清理阶段下层释放操作失败,关键日志：匹配`bondp_delete_jetty`，匹配`Failed to delete pjetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责释放或撤销物理 Jetty相关资源，下层provider、驱动或引用状态返回失败，可能残留已创建的URMA资源。,无
urma_079,URMA,修改物理 Jetty过程中依赖步骤失败,"关键日志：匹配`bondp_modify_jetty`，匹配`modify pjetty fail, index:`，匹配`, ret:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数用于修改物理 Jetty，执行过程中依赖的参数校验、状态转换、下层provider调用或系统资源处理未成功，导致本次URMA操作失败。,无
urma_080,硬件,物理 Jetty导入时下层资源准备失败,关键日志：匹配`bondp_import_pjetty`，匹配`Failed to import tjetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责导入物理 Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_081,OS,Jetty相关临时结构或命令参数分配失败,关键日志：匹配`bondp_unimport_pjetty`，匹配`Failed to alloc target jetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在分配Jetty前需要申请命令参数、资源描述或临时缓存，内存分配失败会阻断后续URMA资源处理。,无
urma_082,硬件,虚拟 Jetty导入时下层资源准备失败,"关键日志：匹配`bondp_unimport_pjetty`，匹配`Failed to import vjetty, []:`；日志路径：系统日志文件（URMA_LOG_PATH）",函数负责导入虚拟 Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_083,硬件,Jetty导入时下层资源准备失败,关键日志：匹配`bondp_unimport_pjetty`，匹配`RM jetty import requires drv_ext.vjetty.`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责导入Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_084,硬件,物理 Jetty导入时下层资源准备失败,关键日志：匹配`bondp_unimport_pjetty`，匹配`Failed to import pjetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责导入物理 Jetty，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_085,硬件,健康检查导入时下层资源准备失败,关键日志：匹配`bondp_unimport_pjetty`，匹配`Failed to import health check seg for jetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责导入健康检查，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_086,硬件,健康检查注册时下层资源准备失败,关键日志：匹配`bondp_unimport_pjetty`，匹配`Failed to register health check task`；日志路径：系统日志文件（URMA_LOG_PATH）,函数负责注册健康检查，依赖的provider接口、驱动命令、子资源或路由信息未成功返回，导致资源无法建立。,无
urma_087,OS,设备、EID、端口、能力或字符设备路径信息的sysfs读取或解析失败,关键日志：匹配`bondp_bind_jetty`，匹配`Jetty already has a binded target jetty`；日志路径：系统日志文件（URMA_LOG_PATH）,函数需要从sysfs获取设备、EID、端口、能力或字符设备路径信息来构建设备上下文，文件打开、读取或内容解析失败导致URMA无法完成设备发现或能力初始化。,无
urma_088,URMA,未找到可用于激活Jetty的有效对象或路由,关键日志：匹配`bondp_bind_jetty`，匹配`No valid active slice to bind`；日志路径：系统日志文件（URMA_LOG_PATH）,函数在激活Jetty过程中需要查找已建立的资源、端口或路由映射，但当前表项缺失或状态不可用，导致后续操作无法定位目标。,无
